"Variable","x2kage_r","x1pltot","x2pltot","x1tchapp","x2tchapp","x2clsnss","x2cnflct","x1prnapp","x2prnapp","x1inbcnt","x2inbcnt","x1attnfs","x2attnfs"
"x2kage_r",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"x1pltot",0.0732037944547402,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"x2pltot",-0.0255199263258862,0.64890274762265,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"x1tchapp",0.151563324297508,0.223213649502201,0.217374786565317,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"x2tchapp",0.122328174938286,0.156601433160508,0.129484206030293,0.653192512370099,1,NA,NA,NA,NA,NA,NA,NA,NA
"x2clsnss",0.00735027453496342,0.169785662009533,0.151753407633608,0.263698358377839,0.42003372585357,1,NA,NA,NA,NA,NA,NA,NA
"x2cnflct",-0.00554547242964002,-0.0950408947090655,-0.121245787933458,-0.387630420472925,-0.469806142760054,-0.316364308301745,1,NA,NA,NA,NA,NA,NA
"x1prnapp",0.0152658192712248,0.103181272396175,0.0744284560199354,0.114221854174521,0.118684680069899,0.0862968203966729,-0.0744052605060001,1,NA,NA,NA,NA,NA
"x2prnapp",0.0459329461837533,0.0306574822595792,0.00233976184501564,0.109041278237402,0.147922922408387,0.103544113039896,-0.0970182965490013,0.524883470887879,1,NA,NA,NA,NA
"x1inbcnt",0.113187756970857,0.132152079674235,0.177709258807135,0.764330198417479,0.589010787573305,0.202660985178161,-0.433124962073974,0.113576270943819,0.105550029175465,1,NA,NA,NA
"x2inbcnt",0.0927103827775806,0.0714396254211788,0.0871736812949491,0.566953247856551,0.757903366094507,0.355705119190213,-0.502607120629449,0.0902659387188069,0.110132781695426,0.637145577876046,1,NA,NA
"x1attnfs",0.110720559455504,0.175088498145831,0.185408202206763,0.80663742010644,0.623422941108267,0.203573469152017,-0.346064547004941,0.168366789624384,0.119104848867474,0.787186841598844,0.567581066129103,1,NA
"x2attnfs",0.125423279077649,0.138834548153424,0.122183654222,0.550929341445318,0.785084418143608,0.339225186437501,-0.414372856538166,0.123568635313189,0.135237104534845,0.542373972948323,0.743245069908853,0.62650440132293,1
